tutor;nombres;apellidos;correo;carnet;telefono;color;asignacion_tutor;extension
ANGELA ELENA CONDORI ARCE;ANGELA ELENA;CONDORI ARCE;correo@docente.com;10001;70000007;#ffffff;Tutor 8;LP
ARZILL ARAMAYO ROCA;ARZILL;ARAMAYO ROCA;correo@docente.com;10002;70000007;#ffffff;Tutor 9;LP
AYLIN LETICIA LOAYZA CAMPOS;AYLIN LETICIA;LOAYZA CAMPOS;correo@docente.com;10003;70000007;#ffffff;Tutor 10;LP
EMANUEL MALLO ZAMBRANA;EMANUEL;MALLO ZAMBRANA;correo@docente.com;10004;70000007;#ffffff;Tutor 11;LP
JOSE JESUS POMA VELASQUEZ;JOSE JESUS;POMA VELASQUEZ;correo@docente.com;10005;70000007;#ffffff;Tutor 12;LP
LOURDES MIREYA MONTES FERNANDEZ;LOURDES MIREYA;MONTES FERNANDEZ;correo@docente.com;10006;70000007;#ffffff;Tutor 13;LP
RUTH GUTIERREZ MAMANI;RUTH;GUTIERREZ MAMANI;correo@docente.com;10007;70000007;#ffffff;Tutor 14;LP
TUTOR 1  .;Marilla;Marilla;correo@docente.com;10008;70000007;#ffffff;Tutor 1;LP
TUTOR 2  .;Hugo;Hugo;correo@docente.com;10009;70000007;#ffffff;Tutor 2;LP
TUTOR 3  .;Natalia;Natalia;correo@docente.com;10010;70000007;#ffffff;Tutor 3;LP
TUTOR 4  .;Paola;Paola;correo@docente.com;10011;70000007;#ffffff;Tutor 4;LP
TUTOR 5  .;Tutor;Cinco;correo@docente.com;10012;70000007;#ffffff;Tutor 5;LP
TUTOR 6  .;Tutor;Seis;correo@docente.com;10013;70000007;#ffffff;Tutor 6;LP
TUTOR 7 . .;Natalie;Natalie;correo@docente.com;10014;70000007;#ffffff;Tutor 7;LP
